run,subrun,event,x,y,z
5525,28,1412,101.24,0.0,769.8
5525,28,1445,150.327,0.0,672.6
5525,29,1482,135.617,0.0,489.6
5527,0,10,60.6768,0.0,643.2
5527,1,84,178.632,0.0,844.5
5527,75,3752,135.45,0.0,853.5
5527,83,4172,151.553,0.0,681.6
5527,83,4198,67.1958,0.0,574.5
5528,6,326,243.153,0.0,887.7
5528,9,476,201.365,0.0,598.2
5528,76,3810,252.347,0.0,461.4
5531,89,4498,-0.891487,0.0,951.9
5535,6,314,248.948,0.0,180.6
5539,4,207,256.581,0.0,501
5539,4,213,29.4748,0.0,194.4
5540,81,4060,138.793,0.0,910.8
5541,110,5546,33.3193,0.0,532.5
5541,112,5614,166.095,0.0,615.3
5547,78,3906,268.17,0.0,398.1
5547,122,6134,121.521,0.0,597
5557,103,5152,72.3776,0.0,640.8
5561,95,4783,273.129,0.0,465.9
5561,96,4804,262.097,0.0,327.6
5561,96,4836,242.596,0.0,832.5
5564,6,318,123.192,0.0,935.1
5564,6,334,79.5652,0.0,163.2
5564,84,4201,62.627,0.0,526.8
5564,127,6359,267.168,0.0,889.2
5565,17,865,46.1345,0.0,526.8
5565,18,912,267.446,0.0,440.4
5583,15,752,139.852,0.0,648.3
5583,19,954,150.773,0.0,923.4
5586,202,10147,203.928,0.0,685.2
5588,135,6790,198.969,0.0,581.7
5588,137,6852,122.97,0.0,508.5
5588,137,6876,116.952,0.0,542.7
5588,180,9042,148.265,0.0,781.8
5588,181,9074,120.629,0.0,894.6
5588,181,9078,77.0022,0.0,935.1
5588,182,9134,119.682,0.0,328.2
5598,41,2057,209.834,0.0,940.8
5598,41,2076,64.8557,0.0,65.1
5604,2,131,72.8234,0.0,564.6
5605,95,4782,58.1695,0.0,157.8
